Date,HIGH,LOW,CLOSE,OPEN,COUNT,VOLUME,SHROUT
1992-02-24,3.0,3.0,3.0,3.0,0.0,0.0,
1992-02-25,3.0,3.0,3.0,3.0,0.0,0.0,
1992-02-26,3.0,3.0,3.0,3.0,0.0,0.0,
1992-02-27,3.0,3.0,3.0,3.0,0.0,0.0,
1992-02-28,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-02,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-03,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-04,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-05,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-06,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-09,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-10,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-11,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-12,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-13,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-16,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-17,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-18,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-19,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-20,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-23,3.0,3.0,3.0,3.0,0.0,0.0,
1992-03-24,2.5,2.5,2.5,2.5,0.0,1.0,
1992-03-25,2.5,2.5,2.5,2.5,0.0,0.0,
1992-03-26,3.0,3.0,3.0,3.0,0.0,1.0,
1992-03-27,2.0,2.0,2.0,2.0,0.0,1.0,
1992-03-30,2.5,2.5,2.5,2.5,0.0,1.0,
1992-03-31,2.5,2.5,2.5,2.5,0.0,0.0,
1992-04-01,2.5,2.5,2.5,2.5,0.0,0.0,
1992-04-02,2.5,2.5,2.5,2.5,0.0,0.0,
1992-04-03,2.5,2.5,2.5,2.5,0.0,0.0,
1992-04-06,2.5,2.5,2.5,2.5,0.0,0.0,
1992-04-07,2.5,2.5,2.5,2.5,0.0,0.0,
1992-04-08,2.0,2.0,2.0,2.0,0.0,1.0,
1992-04-09,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-10,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-13,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-14,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-15,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-16,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-17,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-20,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-21,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-22,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-23,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-24,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-27,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-28,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-29,2.0,2.0,2.0,2.0,0.0,0.0,
1992-04-30,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-01,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-04,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-05,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-06,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-07,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-08,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-11,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-12,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-13,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-14,2.0,2.0,2.0,2.0,0.0,0.0,
1992-05-15,1.5,1.5,1.5,1.5,0.0,1.0,
1992-05-18,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-19,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-20,2.0,2.0,2.0,2.0,0.0,1.0,
1992-05-21,1.5,1.5,1.5,1.5,0.0,1.0,
1992-05-22,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-25,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-26,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-27,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-28,1.5,1.5,1.5,1.5,0.0,0.0,
1992-05-29,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-01,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-02,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-03,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-04,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-05,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-08,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-09,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-10,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-11,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-12,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-15,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-16,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-17,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-18,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-19,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-22,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-23,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-24,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-25,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-26,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-29,1.5,1.5,1.5,1.5,0.0,0.0,
1992-06-30,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-01,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-02,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-03,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-06,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-07,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-08,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-09,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-10,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-13,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-14,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-15,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-16,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-17,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-20,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-21,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-22,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-23,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-24,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-27,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-28,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-29,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-30,1.5,1.5,1.5,1.5,0.0,0.0,
1992-07-31,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-03,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-04,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-05,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-06,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-07,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-10,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-11,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-12,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-13,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-14,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-17,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-18,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-19,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-20,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-21,1.5,1.5,1.5,1.5,0.0,0.0,
1992-08-24,1.0,1.0,1.0,1.0,0.0,1.0,
1992-08-25,1.0,1.0,1.0,1.0,0.0,0.0,
1992-08-26,1.0,1.0,1.0,1.0,0.0,0.0,
1992-08-27,1.0,1.0,1.0,1.0,0.0,0.0,
1992-08-28,1.0,1.0,1.0,1.0,0.0,0.0,
1992-08-31,1.0,1.0,1.0,1.0,0.0,0.0,
1992-09-01,1.0,1.0,1.0,1.0,0.0,0.0,
1992-09-02,1.0,1.0,1.0,1.0,0.0,0.0,
1992-09-03,1.0,1.0,1.0,1.0,0.0,0.0,
1992-09-04,1.25,1.25,1.25,1.25,0.0,1.0,
1992-09-07,1.25,1.25,1.25,1.25,0.0,0.0,
1992-09-08,1.25,1.25,1.25,1.25,0.0,0.0,
1992-09-09,1.25,1.25,1.25,1.25,0.0,0.0,
1992-09-10,1.5,1.5,1.5,1.5,0.0,1.0,
1992-09-11,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-14,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-15,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-16,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-17,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-18,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-21,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-22,1.25,1.25,1.25,1.25,0.0,1.0,
1992-09-23,1.25,1.25,1.25,1.25,0.0,0.0,
1992-09-24,1.5,1.5,1.5,1.5,0.0,1.0,
1992-09-25,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-28,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-29,1.5,1.5,1.5,1.5,0.0,0.0,
1992-09-30,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-01,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-02,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-03,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-05,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-06,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-07,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-08,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-09,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-10,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-12,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-13,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-14,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-15,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-16,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-19,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-20,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-21,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-22,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-23,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-26,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-27,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-28,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-29,1.5,1.5,1.5,1.5,0.0,0.0,
1992-10-30,1.5,1.5,1.5,1.5,0.0,0.0,
1992-11-02,1.5,1.5,1.5,1.5,0.0,0.0,
1992-11-03,1.5,1.5,1.5,1.5,0.0,0.0,
1992-11-04,1.25,1.25,1.25,1.25,0.0,1.0,
1992-11-05,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-06,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-07,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-08,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-09,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-10,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-11,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-12,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-13,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-14,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-16,1.25,1.25,1.25,1.25,0.0,0.0,
1992-11-17,1.5,1.5,1.5,1.5,0.0,1.0,
1992-11-18,1.5,1.25,1.5,1.25,0.0,1.0,
