Date,CLOSE,HIGH,LOW,OPEN,COUNT,VOLUME
2014-04-22,2.475,2.475,2.475,2.475,0.0,0.0
2014-04-23,2.475,2.475,2.475,2.475,0.0,0.0
2014-04-24,2.475,2.475,2.475,2.475,0.0,0.0
2014-04-25,2.475,2.475,2.475,2.475,0.0,0.0
2014-04-28,2.475,2.475,2.475,2.475,0.0,0.0
2014-04-29,2.475,2.475,2.475,2.475,0.0,0.0
2014-04-30,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-01,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-02,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-05,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-06,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-07,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-08,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-09,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-12,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-13,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-14,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-15,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-16,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-19,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-20,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-21,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-22,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-23,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-27,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-28,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-29,2.475,2.475,2.475,2.475,0.0,0.0
2014-05-30,2.5,2.5,2.5,2.5,0.0,1.0
2014-06-02,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-03,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-04,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-05,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-06,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-09,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-10,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-11,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-12,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-13,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-16,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-17,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-18,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-19,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-20,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-23,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-24,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-25,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-26,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-27,2.5,2.5,2.5,2.5,0.0,0.0
2014-06-30,2.5,2.5,2.5,2.5,0.0,0.0
2014-07-01,2.5,2.5,2.5,2.5,0.0,0.0
2014-07-02,2.5,2.5,2.5,2.5,0.0,0.0
2014-07-03,2.425,2.425,2.425,2.425,0.0,1.0
2014-07-04,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-07,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-08,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-09,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-10,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-11,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-14,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-15,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-16,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-17,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-18,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-21,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-22,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-23,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-24,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-25,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-28,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-29,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-30,2.425,2.425,2.425,2.425,0.0,0.0
2014-07-31,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-01,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-04,2.425,2.425,2.425,2.425,2.0,16000.0
2014-08-05,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-06,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-07,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-08,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-11,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-12,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-13,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-14,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-15,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-18,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-19,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-20,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-21,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-22,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-26,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-27,2.425,2.425,2.425,2.425,2.0,16000.0
2014-08-28,2.425,2.425,2.425,2.425,0.0,0.0
2014-08-29,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-01,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-02,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-03,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-04,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-05,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-08,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-09,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-10,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-11,2.425,2.425,2.425,2.425,2.0,16000.0
2014-09-12,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-15,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-16,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-17,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-18,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-19,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-22,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-23,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-24,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-25,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-26,2.425,2.425,2.425,2.425,0.0,0.0
2014-09-29,2.425,2.425,2.425,2.425,2.0,16000.0
2014-09-30,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-01,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-02,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-03,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-06,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-07,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-08,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-09,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-10,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-13,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-14,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-15,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-16,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-17,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-20,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-21,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-22,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-23,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-24,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-27,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-28,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-29,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-30,2.425,2.425,2.425,2.425,0.0,0.0
2014-10-31,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-03,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-04,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-05,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-06,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-07,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-10,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-11,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-12,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-13,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-14,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-17,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-18,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-19,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-20,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-21,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-24,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-25,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-26,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-27,2.425,2.425,2.425,2.425,0.0,0.0
2014-11-28,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-01,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-02,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-03,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-04,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-05,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-08,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-09,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-10,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-11,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-12,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-15,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-16,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-17,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-18,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-19,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-22,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-23,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-24,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-29,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-30,2.425,2.425,2.425,2.425,0.0,0.0
2014-12-31,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-02,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-05,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-06,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-07,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-08,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-09,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-12,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-13,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-14,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-15,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-16,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-19,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-20,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-21,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-22,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-23,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-26,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-27,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-28,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-29,2.425,2.425,2.425,2.425,0.0,0.0
2015-01-30,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-02,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-03,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-04,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-05,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-06,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-09,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-10,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-11,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-12,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-13,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-16,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-17,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-18,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-19,2.425,2.425,2.425,2.425,0.0,0.0
2015-02-20,2.25,2.25,2.25,2.25,0.0,1.0
2015-02-23,2.25,2.25,2.25,2.25,0.0,0.0
2015-02-24,2.25,2.25,2.25,2.25,0.0,0.0
2015-02-25,2.25,2.25,2.25,2.25,0.0,0.0
2015-02-26,2.25,2.25,2.25,2.25,0.0,0.0
2015-02-27,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-02,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-03,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-04,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-05,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-06,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-09,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-10,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-11,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-12,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-13,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-16,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-17,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-18,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-19,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-20,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-23,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-24,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-25,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-26,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-27,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-30,2.25,2.25,2.25,2.25,0.0,0.0
2015-03-31,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-01,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-02,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-07,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-08,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-09,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-10,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-13,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-14,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-15,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-16,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-17,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-20,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-21,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-22,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-23,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-24,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-27,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-28,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-29,2.25,2.25,2.25,2.25,0.0,0.0
2015-04-30,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-01,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-04,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-05,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-06,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-07,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-08,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-11,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-12,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-13,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-14,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-15,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-18,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-19,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-20,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-21,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-22,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-26,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-27,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-28,2.25,2.25,2.25,2.25,0.0,0.0
2015-05-29,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-01,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-02,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-03,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-04,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-05,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-08,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-09,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-10,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-11,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-12,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-15,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-16,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-17,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-18,2.25,2.25,2.25,2.25,0.0,0.0
2015-06-19,2.15,2.15,2.15,2.15,0.0,1.0
